season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,result1,cc_final,elo1_pre,elo2_pre,prob1,elo1_post,elo2_post,champ
1998,"1998-06-13","LVA","WAS","Utah Starzz","Washington Mystics",0,0,78,77,1,0,1407.5500384977736,1291.9452064808538,0.7550984649331204,1408.4902073752005,1291.005037603427,""
1998,"1998-06-14","PHO","LAS","Phoenix Mercury","Los Angeles Sparks",0,0,70,60,1,0,1514.938551501576,1530.8925234024546,0.5911396367557512,1526.043947992025,1519.7871269120055,""
1998,"1998-06-15","CHA","HOU","Charlotte Sting","Houston Comets",0,0,65,79,0,0,1516.4721256447829,1563.9369122329272,0.5466855510024275,1495.1355270156141,1585.273510862096,""
1998,"1998-06-15","DAL","CLE","Detroit Shock","Cleveland Rockers",0,0,85,96,0,0,1292.400359232498,1533.521913004272,0.28343417181217195,1284.7746798196358,1541.147592417134,""
1998,"1998-06-15","PHO","WAS","Phoenix Mercury","Washington Mystics",0,0,69,54,1,0,1526.043947992025,1291.005037603427,0.859785524151246,1530.3213366884947,1286.7276489069573,""
1998,"1998-06-15","LVA","NYL","Utah Starzz","New York Liberty",0,0,71,60,1,0,1408.4902073752005,1497.4730174435747,0.48707557684648023,1424.6120904843358,1481.3511343344394,""
1998,"1998-06-16","SAC","LAS","Sacramento Monarchs","Los Angeles Sparks",0,0,73,69,1,0,1450.8693525592876,1519.7871269120055,0.5159431980597975,1457.510724468116,1513.145755003177,""
1998,"1998-06-18","CHA","DAL","Charlotte Sting","Detroit Shock",0,0,71,67,1,0,1495.1355270156141,1284.7746798196358,0.8417692339779982,1496.8437902596213,1283.0664165756286,""
1998,"1998-06-18","HOU","CLE","Houston Comets","Cleveland Rockers",0,0,87,69,1,0,1585.273510862096,1541.147592417134,0.6714005172969538,1598.8072510978302,1527.6138521813998,""
1998,"1998-06-18","SAC","NYL","Sacramento Monarchs","New York Liberty",0,0,48,64,0,0,1457.510724468116,1481.3511343344394,0.5801235477869522,1431.6989340097773,1507.162924792778,""
1998,"1998-06-19","LAS","NYL","Los Angeles Sparks","New York Liberty",0,0,78,75,1,0,1513.145755003177,1507.162924792778,0.6212734677123258,1516.9941632025261,1503.314516593429,""
1998,"1998-06-19","WAS","LVA","Washington Mystics","Utah Starzz",0,0,85,76,1,0,1286.7276489069573,1424.6120904843358,0.41745987611109864,1303.114646678004,1408.225092713289,""
1998,"1998-06-20","CLE","DAL","Cleveland Rockers","Detroit Shock",0,0,68,66,1,0,1527.6138521813998,1283.0664165756286,0.8662551039696801,1528.422076411558,1282.2581923454704,""
1998,"1998-06-20","SAC","HOU","Sacramento Monarchs","Houston Comets",0,0,68,79,0,0,1431.6989340097773,1598.8072510978302,0.37720331430485576,1420.8719794090314,1609.6342056985761,""
1998,"1998-06-21","LAS","HOU","Los Angeles Sparks","Houston Comets",0,0,63,79,0,0,1516.9941632025261,1609.6342056985761,0.48181753785008974,1496.9846552357671,1629.643713665335,""
1998,"1998-06-21","NYL","LVA","New York Liberty","Utah Starzz",0,0,68,64,1,0,1503.314516593429,1408.225092713289,0.7326081409681551,1506.479726757291,1405.0598825494271,""
1998,"1998-06-21","PHO","CHA","Phoenix Mercury","Charlotte Sting",0,0,71,72,0,0,1530.3213366884947,1496.8437902596213,0.657737801196362,1526.9353829703514,1500.2297439777647,""
1998,"1998-06-21","WAS","DAL","Washington Mystics","Detroit Shock",0,0,57,70,0,0,1303.114646678004,1282.2581923454704,0.641200029941505,1277.7766861715447,1307.5961528519297,""
1998,"1998-06-22","CLE","LVA","Cleveland Rockers","Utah Starzz",0,0,88,72,1,0,1528.422076411558,1405.0598825494271,0.7632619242598523,1536.7208864798579,1396.7610724811273,""
1998,"1998-06-23","DAL","SAC","Detroit Shock","Sacramento Monarchs",0,0,61,57,1,0,1307.5961528519297,1420.8719794090314,0.45225812491246037,1315.4491411487688,1413.0189911121922,""
1998,"1998-06-23","NYL","CLE","New York Liberty","Cleveland Rockers",0,0,59,57,1,0,1506.479726757291,1536.7208864798579,0.5711231166369768,1509.737175057317,1533.4634381798319,""
1998,"1998-06-24","LAS","CHA","Los Angeles Sparks","Charlotte Sting",0,0,73,77,0,0,1496.9846552357671,1500.2297439777647,0.6086966129920544,1487.8554891839206,1509.3589100296113,""
